Rank,Track Name,Artist,Album,Popularity
1,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,El Mal Querer,58
2,Genius,Ravyn Lenae,Bird's Eye,56
3,Wus Good / Curious,PARTYNEXTDOOR,PARTYNEXTDOOR,73
4,اخدني معك,فضل شاكر,حبك علمني,47
5,L o s e M y M i n d,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),66
6,Love Me Not,Ravyn Lenae,Bird's Eye,54
7,Don't Run,PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3),56
8,Her Way,PARTYNEXTDOOR,PARTYNEXTDOOR TWO,75
9,Only U,PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3),57
10,Belong to the City,PARTYNEXTDOOR,PARTYNEXTDOOR TWO,77
11,Bad Blood,Nao,Bad Blood,39
12,BEVERLY HILLS,Doechii,Alligator Bites Never Heal,53
13,Wildflowers,Nao,Wildflowers,52
14,BOOM BAP,Doechii,Alligator Bites Never Heal,56
15,N o C h i l l,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),78
16,Sex on the Beach,PARTYNEXTDOOR,PARTYNEXTDOOR TWO,69
17,places we go,peace,places we go,38
18,Looks Good With Trouble,Solange,True,43
19,You Don't Know My Name,Alicia Keys,The Diary Of Alicia Keys,65
20,BOILED PEANUTS,Doechii,Alligator Bites Never Heal,57
